video_timestamp,x,y,z,Distance_p1_p2,Head orientation
0:00:00,-0.2102729867710865,-1.0642484565782102,-0.0726615286113861,11.180339887498949,Forward
0:00:00.033333,-0.12248188523510127,-0.7757419546688673,-0.06618064734815433,7.0710678118654755,Forward
0:00:00.066667,-0.1847178633397559,-0.7886107902777318,-0.06565108760527014,7.280109889280518,Forward
0:00:00.100000,-0.1064907429995701,-0.7550897292692641,-0.06425189846658008,7.0710678118654755,Forward
0:00:00.133333,-0.1070256589526886,-0.7314075495915388,-0.06561726334399968,7.0710678118654755,Forward
0:00:00.166667,-0.026623351075827997,-0.6662498258255177,-0.06579410828911159,7.0710678118654755,Forward
0:00:00.200000,-0.04721330901378148,-0.6501066318030095,-0.06391800907341609,7.0710678118654755,Forward
0:00:00.233333,-0.043594013451919315,-0.6979146777406056,-0.06522955816698653,7.0710678118654755,Forward
0:00:00.266667,-0.08385706861490239,-0.7108066821536049,-0.06577543983069646,8.06225774829855,Forward
0:00:00.300000,-0.1459483733546085,-0.6119239370547901,-0.06292823089533851,6.324555320336759,Forward
0:00:00.333333,-0.11802126650551406,-0.705727004694595,-0.06440462764166789,7.0710678118654755,Forward
0:00:00.366667,-0.19232932835001043,-0.589151432306352,-0.06355338708756782,6.324555320336759,Forward
0:00:00.400000,-0.27514613196523774,-0.552921135328735,-0.05950860865565803,6.708203932499369,Forward
0:00:00.433333,-0.26689162794258425,-0.5284300056390865,-0.062106957445258196,5.830951894845301,Forward
0:00:00.466667,-0.29327108195469365,-0.47696129295771894,-0.059610121362152234,5.830951894845301,Forward
0:00:00.500000,-0.3933281189149737,-0.3782089897840535,-0.057521223888112524,5.656854249492381,Forward
0:00:00.533333,-0.3297658921585055,-0.30490739038401404,-0.055287807821473856,5.0,Forward
0:00:00.566667,-0.27496616183791783,-0.19322097236998725,-0.05609861229807706,3.605551275463989,Forward
0:00:00.600000,-0.21866587147203387,-0.15777554030211569,-0.05734110594221138,2.23606797749979,Forward
0:00:00.633333,-0.20998885643513038,-0.1520694874216763,-0.05564802052809835,3.605551275463989,Forward
0:00:00.666667,-0.10258455845076832,-0.08125375588287523,-0.05711247190376297,1.0,Forward
0:00:00.700000,-0.11244575819916454,-0.04953051676345618,-0.05196359037062638,1.4142135623730951,Forward
0:00:00.733333,-0.11639598292442732,-0.0666294843407511,-0.05340790853883668,1.4142135623730951,Forward
0:00:00.766667,-0.38669854162361245,-0.0017112997733483059,-0.05375611639930661,4.0,Forward
0:00:00.800000,-0.0007528715240946742,0.06714288742761011,-0.05488565944733696,1.0,Forward
0:00:00.833333,0.5878858090663676,-0.0820791110599133,-0.05450048004472755,6.082762530298219,Forward
