neck_inclination,torso_inclination
0:00:00,25.808372893941552,22.749009092186853
0:00:00.033333,25.496116615794566,22.326896547933156
0:00:00.066667,25.496116615794566,22.051915910668615
0:00:00.100000,25.496116615794566,21.838581725199955
0:00:00.133333,25.496116615794566,21.795604943663147
0:00:00.166667,25.808372893941552,21.624601966824617
0:00:00.200000,25.496116615794566,21.517370970354982
0:00:00.233333,25.808372893941552,21.302428738036546
0:00:00.266667,25.496116615794566,21.302428738036546
0:00:00.300000,25.496116615794566,21.04506557208594
0:00:00.333333,25.034169805653285,21.04506557208594
0:00:00.366667,25.034169805653285,20.937211513741467
0:00:00.400000,25.034169805653285,20.721031987543004
0:00:00.433333,25.816677089687,20.395590757630828
0:00:00.466667,25.973136129224002,20.13763976266393
0:00:00.500000,25.973136129224002,20.02872013946174
0:00:00.533333,25.979104090672216,19.770903859044957
0:00:00.566667,25.088734582462283,19.552364603980095
0:00:00.600000,24.947727041987225,19.333225219560294
0:00:00.633333,26.71947127258115,18.560141327538023
0:00:00.666667,26.42791371304595,18.486122742487325
0:00:00.700000,26.42791371304595,18.52188960719741
0:00:00.733333,31.484319967403106,16.747603236303355
0:00:00.766667,32.32705118243046,16.465457451694405
0:00:00.800000,32.420129653528036,16.12402294638439
0:00:00.833333,31.50142914362953,14.42531217338235
0:00:00.866667,30.556731798587194,13.93518370028014
0:00:00.900000,30.264804633230142,13.850068238373364
0:00:00.933333,35.7164341962838,12.233361944881086
0:00:00.966667,37.860741249088804,11.820785476960143
0:00:01,39.63719111296907,12.572340510966923
0:00:01.033333,42.86839854859447,9.892958570747359
0:00:01.066667,42.893371164740365,9.314482006359416
0:00:01.100000,43.845445702495155,8.907858396537941
0:00:01.133333,41.8093156015387,7.345906024597515
0:00:01.166667,40.075353635135166,6.295499382533673
0:00:01.200000,39.36426748574659,6.068569459971143
0:00:01.233333,42.22797605989058,5.916163406051456
0:00:01.266667,42.790570637711966,5.882976280973258
0:00:01.300000,43.501237090031566,6.213012646128803
0:00:01.333333,43.3249655125122,5.053385266443908
0:00:01.366667,43.315780112543365,5.139165727188009
0:00:01.400000,43.315780112543365,5.129752400321437
0:00:01.433333,42.19524968553386,4.383995557340903
0:00:01.466667,42.02062800040424,3.9824574866432854
0:00:01.500000,42.211717554158184,3.551360860682115
0:00:01.533333,41.63493116593355,3.0357294408482245
0:00:01.566667,41.44031117190246,2.6176435593543195
0:00:01.600000,40.92465442046778,2.3123837474588873
0:00:01.633333,39.967387731095876,1.817395153404278
0:00:01.666667,39.23320559247004,1.7333058440622433
0:00:01.700000,39.23320559247004,1.1918414848599308
0:00:01.733333,38.956232789915795,1.5283692462266445
0:00:01.766667,38.543384632441686,1.8521203576749568
0:00:01.800000,38.12568142228185,2.0698354375601333
0:00:01.833333,33.04378352528968,4.585094443312979
0:00:01.866667,32.32551379975741,4.802423762049237
0:00:01.900000,32.08348927234229,5.03885618735835
0:00:01.933333,28.033123031355814,7.060504212151065
0:00:01.966667,27.226926794676697,7.850962884739629
0:00:02,28.274489666872142,8.182921382042837
0:00:02.033333,22.998323397210395,10.856204413776046
0:00:02.066667,23.401774538385467,10.966549286407565
0:00:02.100000,23.202297329127745,12.345736362481144
0:00:02.133333,19.9081929898795,15.729747473146949
0:00:02.166667,20.928908527638484,17.62929208322874
0:00:02.200000,19.507216098570503,18.226461670381894
0:00:02.233333,17.28434668273212,22.329285984108683
0:00:02.266667,17.69208220654405,23.282234742954834
0:00:02.300000,18.010305501319852,23.96052944583204
0:00:02.333333,20.573930910450727,26.374492922688674
0:00:02.366667,20.573930910450727,27.175762082960844
0:00:02.400000,21.429774370664408,27.70979690350653
0:00:02.433333,21.753489318053383,27.741045416513952
0:00:02.466667,21.429774370664408,27.941294266877463
0:00:02.500000,20.97882094920704,28.099295204143843
0:00:02.533333,22.90662690410602,29.064919671234293
0:00:02.566667,22.604202364290817,28.893226139126142
0:00:02.600000,22.860776263774124,28.76906209270184
0:00:02.633333,28.462763135767418,25.08288369458493
0:00:02.666667,29.591328512051813,23.949102111801793
0:00:02.700000,28.904614750363212,23.838786786016055
0:00:02.733333,28.318215685692138,21.567930154935787
0:00:02.766667,28.274489666872157,21.1180671252747
0:00:02.800000,28.01451078711936,20.801213417825004
0:00:02.833333,26.035718067540937,17.67823525210533
0:00:02.866667,26.17115869284759,16.85376299322568
0:00:02.900000,27.322459099297834,16.45444003174416
0:00:02.933333,27.45482962062711,13.258503569465653
0:00:02.966667,28.232740171355964,12.699665764285474
0:00:03,28.62410520385968,12.71386751979175
0:00:03.033333,28.62410520385968,10.738817112830091
0:00:03.066667,30.322504043193973,9.539064588814982
0:00:03.100000,32.04700299045771,8.983023387167526
0:00:03.133333,33.21093043586442,7.290122865000209
0:00:03.166667,33.74233769113624,6.872275504658673
0:00:03.200000,33.44134529554764,6.803101288583448
0:00:03.233333,35.10117019922984,5.206036213763507
0:00:03.266667,36.24279014085347,3.9606464096403107
0:00:03.300000,36.56952472787698,2.88882840441482
0:00:03.333333,38.41782300028308,2.159615849353137
0:00:03.366667,38.79976803779553,2.151854839238062
0:00:03.400000,39.39180008800526,1.961182258567782
0:00:03.433333,39.355448052117445,1.9899999139126072
0:00:03.466667,39.355448052117445,1.8992967650602934
0:00:03.500000,39.355448052117445,2.0272347009713783
